n1,n2,weight,weigth_color
APC_P_12_C,APC_P_12_S,3.1,black
APC_P_12_C,APC_P_12_I,1.51,black
APC_P_12_C,APC_C_12_C,2.505,black
APC_P_12_C,APC_C_12_S,2.405,black
APC_P_12_C,APC_C_12_I,0.475,black
APC_P_12_C,APC_P_24_C,1.805,black
APC_P_12_C,APC_P_24_S,1.97,black
APC_P_12_C,APC_P_24_I,0.6,black
APC_P_12_C,APC_C_24_C,1.335,black
APC_P_12_C,APC_C_24_S,1.335,black
APC_P_12_C,APC_C_24_I,0.715,black
APC_P_12_S,APC_P_12_I,1.625,black
APC_P_12_S,APC_C_12_C,3.1,black
APC_P_12_S,APC_C_12_S,3.005,black
APC_P_12_S,APC_C_12_I,0.62,black
APC_P_12_S,APC_P_24_C,2.105,black
APC_P_12_S,APC_P_24_S,2.585,black
APC_P_12_S,APC_P_24_I,0.875,black
APC_P_12_S,APC_C_24_C,1.6,black
APC_P_12_S,APC_C_24_S,1.8,black
APC_P_12_S,APC_C_24_I,0.915,black
APC_P_12_I,APC_C_12_C,1.185,black
APC_P_12_I,APC_C_12_S,1.115,black
APC_P_12_I,APC_C_12_I,0.445,black
APC_P_12_I,APC_P_24_C,0.785,black
APC_P_12_I,APC_P_24_S,0.905,black
APC_P_12_I,APC_P_24_I,0.435,black
APC_P_12_I,APC_C_24_C,0.73,black
APC_P_12_I,APC_C_24_S,0.855,black
APC_P_12_I,APC_C_24_I,0.575,black
APC_C_12_C,APC_C_12_S,6.185,black
APC_C_12_C,APC_C_12_I,1.165,black
APC_C_12_C,APC_P_24_C,3.42,black
APC_C_12_C,APC_P_24_S,3.755,black
APC_C_12_C,APC_P_24_I,1.15,black
APC_C_12_C,APC_C_24_C,2.5,black
APC_C_12_C,APC_C_24_S,2.545,black
APC_C_12_C,APC_C_24_I,1.28,black
APC_C_12_S,APC_C_12_I,1.08,black
APC_C_12_S,APC_P_24_C,3.305,black
APC_C_12_S,APC_P_24_S,3.63,black
APC_C_12_S,APC_P_24_I,1.095,black
APC_C_12_S,APC_C_24_C,2.38,black
APC_C_12_S,APC_C_24_S,2.415,black
APC_C_12_S,APC_C_24_I,1.25,black
APC_C_12_I,APC_P_24_C,0.775,black
APC_C_12_I,APC_P_24_S,1.01,black
APC_C_12_I,APC_P_24_I,0.565,black
APC_C_12_I,APC_C_24_C,0.785,black
APC_C_12_I,APC_C_24_S,0.955,black
APC_C_12_I,APC_C_24_I,0.755,black
APC_P_24_C,APC_P_24_S,3.405,black
APC_P_24_C,APC_P_24_I,0.935,black
APC_P_24_C,APC_C_24_C,1.96,black
APC_P_24_C,APC_C_24_S,1.795,black
APC_P_24_C,APC_C_24_I,0.92,black
APC_P_24_S,APC_P_24_I,1.33,black
APC_P_24_S,APC_C_24_C,2.1,black
APC_P_24_S,APC_C_24_S,2.395,black
APC_P_24_S,APC_C_24_I,1.2,black
APC_P_24_I,APC_C_24_C,0.665,black
APC_P_24_I,APC_C_24_S,1.03,black
APC_P_24_I,APC_C_24_I,0.665,black
APC_C_24_C,APC_C_24_S,2.495,black
APC_C_24_C,APC_C_24_I,1.565,black
APC_C_24_S,APC_C_24_I,1.735,black
